measured_value,probability,fraction,denominator,tested_periods,valid_periods,accepted
2048,0.10000014305114746,1/2,2,2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32,,False
1229,0.08751413288445169,3/10,10,10 20 30,,False
3277,0.08751413288445169,4/5,5,5 10 15 20 25 30,,False
2867,0.08751413288445167,7/10,10,10 20 30,,False
819,0.08751413288445167,1/5,5,5 10 15 20 25 30,,False
1638,0.05727873373184695,2/5,5,5 10 15 20 25 30,,False
3686,0.05727873373184695,9/10,10,10 20 30,,False
410,0.05727873373184695,1/10,10,10 20 30,,False
2458,0.05727873373184695,3/5,5,5 10 15 20 25 30,,False
1639,0.02545725046901462,2/5,5,5 10 15 20 25 30,,False
3687,0.02545725046901462,9/10,10,10 20 30,,False
409,0.025457250469014616,1/10,10,10 20 30,,False
